192607,   2.37,   2.64,  -2.69,   9.64,  -8.21,   0.03,   1.29,   0.39,   1.28, -99.99, -14.51,  -3.76,  10.97,   7.15,  -1.33,   0.51,   9.49,   5.11,   4.07,   5.62,   5.12,   3.14,  13.56,   1.78,   6.08,   1.91,   0.83,  -2.13,   7.04, -99.99, -99.99, -99.99, -23.79,   0.14,  -0.02,   3.79, -99.99,  -5.95
192608,   2.23,   0.67,   3.78,   0.77,   7.37,   3.07,   6.50,   7.97,   1.54, -99.99,  -3.97,  18.24,  10.01,   5.04,   3.68,   8.36,  -3.28,   4.14,   2.17,  -0.87,   2.34,   1.67,   3.51,   4.68,   8.27,   4.85,   2.17,   6.52,  -1.69, -99.99, -99.99, -99.99,   5.39,  -0.72,   4.47,  -0.20, -99.99,   0.00
192609,  -0.57,  -0.22,  -5.92,   7.47, -11.76,   1.63,   1.26,   2.30,  -2.42, -99.99,   1.88, -10.42,  -0.99,   4.68,  -3.61,  -7.79,  -0.14,   3.17,   0.15,  -2.96,   1.07,  -0.65,   4.98,  -0.86,  -2.33,   0.07,   2.42,  -2.55,   2.04, -99.99, -99.99, -99.99,  -7.87,   0.22,  -1.61,   5.56, -99.99,   0.00
192610,  -0.46,  -0.34,  -1.98,  -2.78,  -8.59,  -3.67,   1.06,   1.00,  -0.68, -99.99,  -3.00,  -2.75,   9.47,  -4.25,  -1.01,  -1.21,   0.28,  -4.90,  -3.85,  -4.86,   0.43,  -5.89,  -7.73,   0.05,  -7.71,  -2.61,  -0.12,   5.13,  -2.63, -99.99, -99.99, -99.99, -15.38,  -2.28,  -5.51,  -4.47, -99.99,   0.00
192611,   6.75,   1.58,   0.91,  17.23,   2.25,   6.28,   4.55,   3.10,   4.48, -99.99,   8.11,   3.61,  -5.80,   5.18,   0.03,  -7.72,   1.37,   4.87,   3.86,   2.26,   3.20,   4.37,   1.40,   3.87,   3.50,   1.61,   1.63,  -1.02,   3.71, -99.99, -99.99, -99.99,   4.67,   6.43,   2.34,   2.22, -99.99,   0.00
192612,  -3.27,   2.28,   3.45,  -0.82,   0.76,   0.09,   2.55,   6.39,   0.02, -99.99,  -1.43,  -3.08,   0.53,   4.69,   2.93,   4.50,   0.71,   1.54,   3.75,   0.10,   4.90,  -1.98,   8.94,   6.92,  -1.67,   3.68,   1.99,   2.06,  -0.17, -99.99, -99.99, -99.99,   9.65,   0.61,   2.60,   2.98, -99.99,   0.00
192701,  -3.66,  -1.16,   6.16,   9.89,  -3.55,  -0.15,  -0.35,  -1.49,   2.27, -99.99,   4.04,   0.98,   9.67,   0.79,   1.52,   4.78,  -1.72,  -1.15,  -0.39,  -2.78,   1.11,  -0.62,  -0.99,  -1.44,  -3.18,   1.42,   1.89,   0.00,  -1.79, -99.99, -99.99, -99.99, -17.93,  -2.53,  -2.04,   1.92, -99.99,   0.00
192702,   7.65,   4.88,   9.22,   7.25,   8.01,   3.85,   1.49,   7.66,   4.03, -99.99,  12.01,   2.58,   1.41,   8.58,   0.84,   9.85,   2.51,   2.52,   3.67,   5.46,   7.66,   4.03,   8.51,   4.14,  -0.80,   5.18,   3.97,   7.07,   4.53, -99.99, -99.99, -99.99,   3.49,   3.61,   2.71,   3.83, -99.99,   0.00
192703,  -0.60,   3.51, -13.35,   9.75,   5.04,   2.38,   5.51,  -5.38,  -2.02, -99.99,  -2.84,  -2.76,  -0.28,   5.44,  -6.77,  -2.16,   1.50,   3.39,   1.48,  -3.23,  -0.75,   0.32,   1.04,   3.24,   0.49,   1.02,   5.57,  -5.66,   0.37, -99.99, -99.99, -99.99, -20.47,  -0.39,   0.92,  -0.27, -99.99,   0.00
192704,   5.39,   1.31,  -2.49,   4.99,  -8.67,   2.12,   4.01,   0.46,   0.11, -99.99,   2.63,  -1.72,  -0.96,   2.88,  -5.90,  -1.12,   7.13,  -2.15,  -0.34,   2.79,   2.39,   6.08,   2.35,   2.00,   3.97,   0.71,  -2.14,   7.40,   1.71, -99.99, -99.99, -99.99, -10.75,   4.44,   2.45,  -2.48, -99.99,  17.72
192705,   4.12,   1.41,  11.44,   1.73, -10.44,   6.71,  11.80,  13.21,   2.48, -99.99,  25.64,   5.84,   3.13,   4.09,   4.76,  -2.08,   3.54,  11.57,   3.22,   5.81,   8.11,   7.90,   6.88,   5.00,   0.52,   7.06,   3.35,   0.00,   9.21, -99.99, -99.99, -99.99,  -4.01,   2.35,  10.03,   4.55, -99.99,   6.67
192706,  -3.40,  -5.20,  -0.87,   6.24, -13.78,  -1.71,  -2.30,   2.29,  -3.18, -99.99,   0.51,   0.68,  12.54,  -1.60,  -3.23, -12.83,   1.96,  -5.30,  -3.42,   0.55,  -2.22,   2.97,  -3.13,   4.82,  -3.86,  -2.02,  -2.13,  -4.76,  -3.57, -99.99, -99.99, -99.99,  -4.18,  -0.62,  -0.06,  -7.76, -99.99,  -1.88
192707,   6.05,   6.14,   2.39,   5.76,  -0.80,   4.82,   4.39,   4.35,  15.43,   6.56,  15.44,  13.95,   1.78,  16.28,   2.93,  13.47,   4.20,   3.14,  10.33,  10.12,   8.28,  13.79,  13.38,   8.28,   6.35,   5.97,   3.72,  13.00,   5.31, -99.99, -99.99, -99.99,  11.11,   9.87,   6.50,   1.27, -99.99,   0.27
